4 227 454
2 58 1057.000000 798.000000
2 59 1127.599976 708.400024
2 60 1095.199951 560.799988
2 61 1146.800049 752.800049
2 62 1077.199951 776.800049
2 63 1132.400024 1042.000000
2 64 1109.599976 713.200012
2 65 1136.000000 710.800049
2 66 1100.000000 733.599976
2 67 1121.599976 566.799988
2 68 1056.800049 798.400024
2 69 1127.359985 707.920044
2 70 1095.680054 559.599976
2 71 1076.959961 777.040039
2 72 1108.640015 713.680054
2 73 1136.000000 709.359985
2 74 1131.680054 1042.000000
2 75 1100.000000 733.840027
2 76 1125.920044 756.880005
2 77 1098.560059 441.520020
2 78 1056.800049 693.520020
2 79 1120.160034 670.479980
2 80 1127.072021 708.784058
2 81 1095.968018 560.176025
2 82 1135.712036 708.784058
2 83 1076.959961 776.176025
2 84 1132.255981 1040.560059
2 85 1090.784058 924.784058
2 86 1101.151978 732.976074
2 87 1111.520020 712.585693
2 88 1090.784058 924.092896
2 89 1076.268799 774.793701
2 90 1094.931152 559.139221
2 91 1084.563232 754.057617
2 92 1088.710449 559.139221
2 93 1105.299194 532.182434
2 94 1062.997803 532.182434
2 95 1084.397339 994.014771
2 96 1063.495483 528.201172
2 97 1087.383301 656.598511
2 98 1070.661865 565.824585
3 48 181.000000 730.000000
3 49 130.000000 799.000000
3 50 197.273270 773.550293
3 51 197.273270 773.550293
3 52 183.600006 1064.800049
3 53 154.000000 755.000000
3 54 188.400009 732.400024
3 55 179.000000 779.000000
3 56 162.000000 736.000000
3 57 174.000000 589.000000
3 58 109.200005 821.200012
3 59 180.000000 731.200012
3 60 148.000000 583.000000
3 61 199.200012 775.599976
3 62 129.600006 799.599976
3 63 183.600006 1064.800049
3 64 162.000000 736.000000
3 65 188.400009 732.400024
3 66 153.600006 755.200012
3 67 174.000000 589.599976
3 68 109.200005 821.200012
3 69 180.000000 730.960022
3 70 148.608017 582.640015
3 71 129.600006 798.640015
3 72 162.720001 735.280029
3 73 188.640015 732.400024
3 74 182.880005 1065.040039
3 75 152.639999 755.440002
3 76 179.712021 777.904053
3 77 151.200012 464.559998
3 78 110.400002 715.599976
3 79 174.528015 693.232056
3 80 181.440018 731.248047
3 81 148.608017 582.640015
3 82 188.640015 732.400024
3 83 129.600006 798.640015
3 84 183.168015 1064.752075
3 85 143.424011 947.248047
3 86 153.792007 755.440063
3 87 163.814423 735.395264
3 88 143.078415 946.902466
3 89 130.636826 797.603271
3 90 147.225616 581.948853
3 91 138.931213 776.867249
3 92 141.004822 581.948853
3 93 159.252518 554.577332
3 94 116.951065 554.577332
3 95 137.355301 1017.902649
3 96 116.453407 549.103027
3 97 140.341278 680.486328
3 98 125.411362 587.920837
0 99 284.000000 935.000000
0 100 555.000000 980.000000
0 101 516.000000 1145.000000
0 102 268.000000 987.000000
0 103 268.000000 985.000000
0 104 459.000000 1031.000000
0 105 457.000000 1030.000000
0 106 408.000000 1070.000000
0 107 279.000000 939.000000
0 108 510.000000 1081.000000
0 109 600.000000 1107.000000
0 110 461.000000 1031.000000
0 111 405.000000 1070.000000
0 112 582.000000 1159.000000
0 113 503.000000 1019.000000
0 114 502.000000 1035.000000
0 115 283.200012 935.599976
0 116 516.000000 1144.400024
0 117 459.600006 1030.400024
0 118 267.600006 986.000000
0 119 507.600006 1083.199951
0 120 278.400024 939.200012
0 121 510.000031 1080.800049
0 122 408.000031 1068.800049
0 123 599.875916 1105.080078
0 124 405.600006 1070.000000
0 125 586.800049 1083.199951
0 126 337.200012 1115.599976
0 127 394.800018 1101.199951
0 128 370.800018 971.599976
0 129 504.000031 1018.400024
0 130 501.600006 1019.599976
0 131 554.400024 980.000000
0 132 459.360016 1030.400024
0 133 515.520020 1145.599976
0 134 283.680023 935.359985
0 135 506.880005 1082.239990
0 136 267.839996 987.200012
0 137 587.520020 1083.680054
0 138 509.760010 1080.800049
0 139 276.480011 938.239990
0 140 406.080017 1070.719971
0 141 394.560028 1102.400024
0 142 336.960022 1115.359985
0 143 452.160004 1082.239990
0 144 554.688049 979.424011
0 145 599.616028 1109.024048
0 146 457.920044 1029.536011
0 147 283.392029 934.496033
0 148 587.520081 1083.104004
0 149 451.008057 1079.648071
0 150 501.120056 1019.168030
0 151 521.856079 1039.904053
0 152 508.032043 1081.375977
0 153 553.651306 979.078430
0 154 599.270508 1109.715210
0 155 284.083252 935.532837
0 156 458.265656 1030.918457
0 157 452.044861 1080.684814
0 158 603.417664 1124.230469
0 159 586.828857 1082.758423
0 160 472.780853 1078.611206
0 161 522.547302 1041.286377
0 162 450.386017 1077.367065
0 163 457.850983 1030.088989
0 164 432.967773 1025.112305
0 165 522.547302 1040.042236
0 166 470.292603 1077.367065
0 167 442.921051 1015.159058
0 168 432.967804 1024.117065
0 169 450.883698 1077.864746
0 170 373.248108 982.313232
0 171 334.430298 1071.892822
0 172 456.855682 1030.088989
0 173 522.547363 1039.046997
0 174 437.148193 1025.908691
0 175 311.736816 1025.908691
0 176 444.314545 1015.159058
0 177 523.144531 1036.658203
2 99 276.000000 98.000000
2 100 547.000000 145.000000
2 101 508.000000 310.000000
2 102 259.200012 150.000000
2 103 260.000000 148.000000
2 104 452.000000 195.000000
2 105 448.800018 194.400009
2 106 400.000000 234.000000
2 107 271.000000 102.000000
2 108 502.000000 246.000000
2 109 592.000000 271.000000
2 110 452.000000 195.000000
2 111 397.000000 235.000000
2 112 575.000000 324.000000
2 113 494.400024 183.600006
2 114 494.400024 199.200012
2 115 274.800018 98.400002
2 116 508.800018 309.600006
2 117 452.400024 195.600006
2 118 259.000000 150.000000
2 119 499.200012 247.200012
2 120 270.000000 102.000008
2 121 502.800018 244.800003
2 122 399.600006 234.000015
2 123 592.800049 271.200012
2 124 397.200012 234.000015
2 125 579.000000 248.000000
2 126 330.000000 279.600006
2 127 387.000000 265.000000
2 128 362.400024 135.600006
2 129 494.400024 183.600006
2 130 494.400024 183.600006
2 131 547.200012 144.000000
2 132 452.160004 195.840012
2 133 508.320007 309.600006
2 134 275.040009 97.920006
2 135 501.120056 245.376022
2 136 259.000000 150.000000
2 137 578.880005 249.120010
2 138 502.800018 244.800003
2 139 270.000000 102.000008
2 140 397.440002 234.720016
2 141 387.000000 265.000000
2 142 330.000000 279.600006
2 143 444.096039 245.376022
2 144 546.048035 143.424011
2 145 592.704041 274.752014
2 146 451.008057 193.536011
2 147 274.752014 98.496010
2 148 578.880066 247.104019
2 149 444.096039 245.376022
2 150 494.208038 183.168015
2 151 514.080017 205.920013
2 152 501.120056 245.376022
2 153 545.356873 145.152023
2 154 590.976074 275.788849
2 155 274.752014 98.496010
2 156 452.044861 194.918427
2 157 443.750458 246.758438
2 158 596.160034 288.576019
2 159 578.880066 247.104019
2 160 464.486450 244.684830
2 161 514.252869 205.286423
2 162 442.921051 243.855423
2 163 450.386017 194.089005
2 164 425.502808 189.112366
2 165 515.082336 204.042282
2 166 462.827637 241.864777
2 167 435.953796 179.159088
2 168 425.502808 189.112366
2 169 441.925751 241.864777
2 170 367.276123 146.313263
2 171 325.472351 235.892792
2 172 450.883698 194.089020
2 173 516.575378 203.046967
2 174 429.981812 189.908646
2 175 304.570465 189.908646
2 176 437.148193 179.159088
2 177 516.575378 203.046967
1 178 438.000000 968.000000
1 179 374.000000 881.000000
1 180 418.000000 992.000000
1 181 303.000000 1117.000000
1 182 1078.000000 1071.000000
1 183 366.000000 1013.000000
1 184 284.000000 1067.000000
1 185 302.000000 938.000000
1 186 438.400024 968.000000
1 187 371.200012 881.599976
1 188 1078.000000 1071.199951
1 189 284.799988 974.000000
1 190 418.000000 992.000000
1 191 374.799988 880.400024
1 192 302.799988 1116.800049
1 193 347.200012 1030.400024
1 194 283.600006 1066.400024
1 195 301.600006 938.000000
1 196 920.800049 1043.599976
1 197 380.799988 982.400024
1 198 365.200012 1011.200012
1 199 347.440002 1030.400024
1 200 418.000000 991.520020
1 201 373.359985 880.640015
1 202 454.000000 925.280029
1 203 438.160004 968.479980
1 204 301.359985 938.239990
1 205 302.799988 1116.800049
1 206 1077.520020 1072.160034
1 207 438.160004 899.359985
1 208 346.864014 1029.536011
1 209 417.712036 991.520020
1 210 438.447998 969.056030
1 211 918.832092 1043.359985
1 212 327.856018 950.048035
1 213 347.900818 1030.918457
1 214 1030.115234 977.004822
1 215 416.329620 993.593628
1 216 920.214478 1043.359985
1 217 453.654419 925.164795
1 218 329.238403 950.048035
1 219 1039.239258 1025.112305
1 220 387.299255 1065.920898
1 221 432.089020 1065.920898
1 222 997.634583 1022.325439
1 223 976.135437 975.744080
1 224 388.493652 979.327271
1 225 431.491821 979.327271
1 226 1040.923096 1021.382812
3 178 436.000000 154.000000
3 179 373.000000 66.000000
3 180 416.000000 179.000000
3 181 301.000000 301.000000
3 182 1077.000000 256.000000
3 183 364.000000 198.000000
3 184 281.000000 253.000000
3 185 299.200012 123.600006
3 186 436.000000 153.600006
3 187 368.799988 67.200005
3 188 1077.000000 256.000000
3 189 282.399994 159.600006
3 190 415.600006 178.800003
3 191 373.000000 66.000000
3 192 301.359985 302.400024
3 193 346.000000 217.200012
3 194 281.000000 253.000000
3 195 299.200012 123.600006
3 196 918.400024 230.400009
3 197 378.400024 168.000000
3 198 364.000000 198.000000
3 199 346.000000 217.440002
3 200 416.559998 178.560013
3 201 371.919983 66.240005
3 202 452.272034 112.320007
3 203 435.280029 154.080002
3 204 298.480011 123.840004
3 205 301.359985 302.400024
3 206 1076.080078 256.320007
3 207 434.992004 84.672005
3 208 345.136017 216.000015
3 209 415.984009 177.984024
3 210 436.000000 153.600006
3 211 918.832092 229.824020
3 212 327.164795 136.857620
3 213 347.900818 217.728027
3 214 1029.424072 162.432022
3 215 416.329620 178.329620
3 216 918.140869 230.169632
3 217 453.654419 111.974419
3 218 327.164795 136.857620
3 219 1039.239258 209.018936
3 220 387.299255 253.808716
3 221 432.089020 250.822723
3 222 997.634583 207.824554
3 223 976.135437 161.243179
3 224 384.910461 168.409546
3 225 431.491821 168.409546
3 226 1040.632812 207.824554
0.0
0.0
0.0
0.0
0.0
0.0
1.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
1.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
1.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
1.0
0.0
0.0
1158.000000 216.000000 1.000000
1006.000000 346.000000 1.000000
1107.000000 243.000000 1.000000
1116.000000 158.000000 1.000000
1014.000000 263.000000 1.000000
1090.000000 177.000000 1.000000
1087.000000 177.000000 1.000000
1028.000000 506.000000 1.000000
1118.000000 186.000000 1.000000
1125.000000 732.000000 1.000000
1094.000000 176.000000 1.000000
1124.000000 739.000000 1.000000
1118.000000 184.000000 1.000000
1052.000000 587.000000 1.000000
1028.000000 506.400024 1.000000
1103.599976 184.800003 1.000000
1005.200012 345.600006 1.000000
1116.800049 157.200012 1.000000
1052.000000 588.000000 1.000000
1025.599976 506.400024 1.000000
1098.800049 129.600006 1.000000
1104.800049 243.600006 1.000000
1125.199951 732.000000 1.000000
1114.400024 158.400009 1.000000
1118.000000 183.600006 1.000000
1126.400024 740.400024 1.000000
1089.920044 177.120010 1.000000
1114.400024 158.400009 1.000000
1121.599976 158.400009 1.000000
1102.880005 184.320007 1.000000
1125.920044 740.160034 1.000000
1026.560059 506.880005 1.000000
1098.560059 129.600006 1.000000
1090.784058 176.256012 1.000000
1114.976074 158.976013 1.000000
1121.888062 158.976013 1.000000
1104.608032 243.648026 1.000000
1102.880005 183.168015 1.000000
1033.760010 502.848053 1.000000
1025.119995 506.304047 1.000000
1090.784058 176.256027 1.000000
1105.299194 244.684830 1.000000
1103.225586 184.550430 1.000000
1121.888062 157.593628 1.000000
1090.369263 176.670761 1.000000
1067.974365 258.785339 1.000000
1067.078613 257.989105 1.000000
1067.078613 598.391357 1.000000
1128.000000 1544.000000 1.000000
1078.000000 1612.000000 1.000000
1147.000000 1588.000000 1.000000
1147.931885 1584.552002 1.000000
1132.000000 1877.000000 1.000000
1101.000000 1568.000000 1.000000
1136.000000 1545.000000 1.000000
1126.000000 1592.000000 1.000000
1110.000000 1549.000000 1.000000
1122.000000 1402.000000 1.000000
1057.000000 1633.000000 1.000000
1127.599976 1543.400024 1.000000
1095.199951 1395.799988 1.000000
1146.800049 1587.800049 1.000000
1077.199951 1611.800049 1.000000
1132.400024 1877.000000 1.000000
1109.599976 1548.200012 1.000000
1136.000000 1545.800049 1.000000
1100.000000 1568.599976 1.000000
1121.599976 1401.799988 1.000000
1056.800049 1633.400024 1.000000
1127.359985 1542.920044 1.000000
1095.680054 1394.599976 1.000000
1076.959961 1612.040039 1.000000
1108.640015 1548.680054 1.000000
1136.000000 1544.359985 1.000000
1131.680054 1877.000000 1.000000
1100.000000 1568.840027 1.000000
1125.920044 1591.880005 1.000000
1098.560059 1276.520020 1.000000
1056.800049 1528.520020 1.000000
1120.160034 1505.479980 1.000000
1127.072021 1543.784058 1.000000
1095.968018 1395.176025 1.000000
1135.712036 1543.784058 1.000000
1076.959961 1611.176025 1.000000
1132.255981 1875.560059 1.000000
1090.784058 1759.784058 1.000000
1101.151978 1567.976074 1.000000
1111.520020 1547.585693 1.000000
1090.784058 1759.092896 1.000000
1076.268799 1609.793701 1.000000
1094.931152 1394.139221 1.000000
1084.563232 1589.057617 1.000000
1088.710449 1394.139221 1.000000
1105.299194 1367.182434 1.000000
1062.997803 1367.182434 1.000000
1084.397339 1829.014771 1.000000
1063.495483 1363.201172 1.000000
1087.383301 1491.598511 1.000000
1070.661865 1400.824585 1.000000
284.000000 935.000000 1.000000
555.000000 980.000000 1.000000
516.000000 1145.000000 1.000000
268.000000 987.000000 1.000000
268.000000 985.000000 1.000000
459.000000 1031.000000 1.000000
457.000000 1030.000000 1.000000
408.000000 1070.000000 1.000000
279.000000 939.000000 1.000000
510.000000 1081.000000 1.000000
600.000000 1107.000000 1.000000
461.000000 1031.000000 1.000000
405.000000 1070.000000 1.000000
582.000000 1159.000000 1.000000
503.000000 1019.000000 1.000000
502.000000 1035.000000 1.000000
283.200012 935.599976 1.000000
516.000000 1144.400024 1.000000
459.600006 1030.400024 1.000000
267.600006 986.000000 1.000000
507.600006 1083.199951 1.000000
278.400024 939.200012 1.000000
510.000031 1080.800049 1.000000
408.000031 1068.800049 1.000000
599.875916 1105.080078 1.000000
405.600006 1070.000000 1.000000
586.800049 1083.199951 1.000000
337.200012 1115.599976 1.000000
394.800018 1101.199951 1.000000
370.800018 971.599976 1.000000
504.000031 1018.400024 1.000000
501.600006 1019.599976 1.000000
554.400024 980.000000 1.000000
459.360016 1030.400024 1.000000
515.520020 1145.599976 1.000000
283.680023 935.359985 1.000000
506.880005 1082.239990 1.000000
267.839996 987.200012 1.000000
587.520020 1083.680054 1.000000
509.760010 1080.800049 1.000000
276.480011 938.239990 1.000000
406.080017 1070.719971 1.000000
394.560028 1102.400024 1.000000
336.960022 1115.359985 1.000000
452.160004 1082.239990 1.000000
554.688049 979.424011 1.000000
599.616028 1109.024048 1.000000
457.920044 1029.536011 1.000000
283.392029 934.496033 1.000000
587.520081 1083.104004 1.000000
451.008057 1079.648071 1.000000
501.120056 1019.168030 1.000000
521.856079 1039.904053 1.000000
508.032043 1081.375977 1.000000
553.651306 979.078430 1.000000
599.270508 1109.715210 1.000000
284.083252 935.532837 1.000000
458.265656 1030.918457 1.000000
452.044861 1080.684814 1.000000
603.417664 1124.230469 1.000000
586.828857 1082.758423 1.000000
472.780853 1078.611206 1.000000
522.547302 1041.286377 1.000000
450.386017 1077.367065 1.000000
457.850983 1030.088989 1.000000
432.967773 1025.112305 1.000000
522.547302 1040.042236 1.000000
470.292603 1077.367065 1.000000
442.921051 1015.159058 1.000000
432.967804 1024.117065 1.000000
450.883698 1077.864746 1.000000
373.248108 982.313232 1.000000
334.430298 1071.892822 1.000000
456.855682 1030.088989 1.000000
522.547363 1039.046997 1.000000
437.148193 1025.908691 1.000000
311.736816 1025.908691 1.000000
444.314545 1015.159058 1.000000
523.144531 1036.658203 1.000000
1393.000000 968.000000 1.000000
1329.000000 881.000000 1.000000
1373.000000 992.000000 1.000000
1258.000000 1117.000000 1.000000
2033.000000 1071.000000 1.000000
1321.000000 1013.000000 1.000000
1239.000000 1067.000000 1.000000
1257.000000 938.000000 1.000000
1393.400024 968.000000 1.000000
1326.200012 881.599976 1.000000
2033.000000 1071.199951 1.000000
1239.799988 974.000000 1.000000
1373.000000 992.000000 1.000000
1329.799988 880.400024 1.000000
1257.799988 1116.800049 1.000000
1302.200012 1030.400024 1.000000
1238.600006 1066.400024 1.000000
1256.600006 938.000000 1.000000
1875.800049 1043.599976 1.000000
1335.799988 982.400024 1.000000
1320.200012 1011.200012 1.000000
1302.440002 1030.400024 1.000000
1373.000000 991.520020 1.000000
1328.359985 880.640015 1.000000
1409.000000 925.280029 1.000000
1393.160004 968.479980 1.000000
1256.359985 938.239990 1.000000
1257.799988 1116.800049 1.000000
2032.520020 1072.160034 1.000000
1393.160004 899.359985 1.000000
1301.864014 1029.536011 1.000000
1372.712036 991.520020 1.000000
1393.447998 969.056030 1.000000
1873.832092 1043.359985 1.000000
1282.856018 950.048035 1.000000
1302.900818 1030.918457 1.000000
1985.115234 977.004822 1.000000
1371.329620 993.593628 1.000000
1875.214478 1043.359985 1.000000
1408.654419 925.164795 1.000000
1284.238403 950.048035 1.000000
1994.239258 1025.112305 1.000000
1342.299255 1065.920898 1.000000
1387.089020 1065.920898 1.000000
1952.634583 1022.325439 1.000000
1931.135437 975.744080 1.000000
1343.493652 979.327271 1.000000
1386.491821 979.327271 1.000000
1995.923096 1021.382812 1.000000
